"activateable","associateEntityType","associateParentEntity","createable","custom","customSetting","deepCloneable","deletable","deprecatedAndHidden","feedEnabled","hasSubtypes","idEnabled","isInterface","isSubtype","keyPrefix","label","labelPlural","layoutable","mergeable","mruEnabled","name","queryable","replicateable","retrieveable","searchable","triggerable","undeletable","updateable"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","02t","Email-to-Case Routing Address","Email-to-Case Routing Address","false","false","false","EmailRoutingAddress","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","093","Email Services Address","Email Services Address","false","false","false","EmailServicesAddress","true","true","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","091","Email Service","Email Services","false","false","false","EmailServicesFunction","true","true","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","018","Email Status","Email Status","false","false","false","EmailStatus","false","false","false","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00X","Email Template","Email Templates","false","false","true","EmailTemplate","true","true","true","true","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","0Lq","Embedded Service","Embedded Services","false","false","false","EmbeddedServiceDetail","true","false","false","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","550","Entitlement","Entitlements","true","false","true","Entitlement","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Entitlement Change Event","Entitlement Change Event","false","false","false","EntitlementChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0E7","Entitlement Contact","Entitlement Contacts","false","false","false","EntitlementContact","true","true","true","false","true","true","false"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Entitlement Feed","Entitlement Feed","false","false","false","EntitlementFeed","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Entitlement History","Entitlement History","false","false","false","EntitlementHistory","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","551","Entitlement Template","Entitlement Template","false","false","false","EntitlementTemplate","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Entitlement","Change Event: Entitlement","false","false","false","Entitlement__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Entitlement","Tag: Entitlement","false","false","false","Entitlement__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a49","Entitlement","Entitlements","true","false","true","Entitlement__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","4ie","Entity Definition","Entity Definitions","false","false","false","EntityDefinition","true","false","false","true","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","0Nv","Entity Particle","Entity Particles","false","false","false","EntityParticle","true","false","false","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0E8","Entity Subscription","Entity Subscriptions","false","false","false","EntitySubscription","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Eval License Request","Change Event: Eval License Request","false","false","false","Eval_License_Request__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Eval License Request","Tag: Eval License Request","false","false","false","Eval_License_Request__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a0c","Eval License Request","Eval License Requests","true","false","false","Eval_License_Request__c","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00U","Event","Events","true","false","true","Event","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","0Cd","Platform Event Subscription","Platform Event Subscription","false","false","false","EventBusSubscriber","true","false","false","false","false","false","false"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Event Feed","Event Feed","false","false","false","EventFeed","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","0AT","Event Log File","Event Log Files","false","false","false","EventLogFile","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0RE","Event Relation","Event Relations","false","false","false","EventRelation","true","true","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Event Tag","Event Tag","false","false","false","EventTag","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Exception  Rules","Change Event: Exception  Rules","false","false","false","Exception_Rules__ChangeEvent","false","false","true","false","true","false","false"
